,id,value
0,Happiness.Being informed / learning,1
1,Happiness.Being informed / learning.Quiz success,1
2,Happiness.Ease of use / smooth,1
3,Happiness.Ease of use / smooth.Happy path completion %,1
4,Happiness.Leave feedback,1
5,Happiness.Leave feedback.Mood clicks (happy face),1
6,Happiness.Recommendation,1
7,Happiness.Recommendation.Survey responses / NPS,1
8,Happiness.Delight,1
9,Happiness.Delight.Sentiment,1
10,Engagement.Empathy,1
11,Engagement.Empathy.Social listening for sentiment,1
12,Engagement.Trust,1
13,Engagement.Trust.Social listening for sentiment,1
14,Engagement.Popularity,1
15,Engagement.Popularity.Shares #,1
16,Engagement.Relevance,1
17,Engagement.Relevance.Video plays,1
18,Engagement.Leave feedback,1
19,Engagement.Leave feedback.Sentiment,1
20,Engagement.Stickiness,1
21,Engagement.Stickiness.Click # / % on related content,1
22,Adoption.Cross-promotion,1
23,Adoption.Cross-promotion.# volunteer sign-ups from other sources,1
24,Adoption.Shareable content,1
25,Adoption.Shareable content.# shares from page,1
26,Adoption.Micro-conversions,1
27,Adoption.Micro-conversions.Email journey sign-ups,1
28,Adoption.Get new users,1
29,Adoption.Get new users.New user # / %,1
30,Retention.Returning,1
31,Retention.Returning.Returning user # / %,1
32,Retention.Frequency,1
33,Retention.Frequency.Sessions / user,1
34,Retention.Recency,1
35,Retention.Recency.Users with sessions in last X days,1
36,Task success.Effectiveness,1
37,Task success.Effectiveness.Intent # / %,1
38,Task success.Efficiency,1
39,Task success.Efficiency.Task completion time,1
