Objective,Driver,Metric,Slices,Traffic light colour
Happiness,Being informed / learning,Quiz success,,Data available
Happiness,Ease of use / smooth,Happy path completion %,,Data available
Happiness,Ease of use / smooth,Conversion % (negative),,Data available
Happiness,Ease of use / smooth,Funnels,,Data available
Happiness,Ease of use / smooth,Survey responses,,Can do
Happiness,Ease of use / smooth,Completion time,,Needs work
Happiness,Leave feedback,Mood clicks (happy face),,Needs work
Happiness,Leave feedback,"""Did you find this page useful?""",,Data available
Happiness,Leave feedback,Complaint # / % (negative),,Needs work
Happiness,Recommendation,Survey responses / NPS,,Can do
Happiness,Delight,Sentiment,,Needs work
Happiness,Delight,Survey responses: feeling good/useful,,Can do
Engagement,Empathy,Social listening for sentiment,,Needs work
Engagement,Trust,Social listening for sentiment,,Needs work
Engagement,Popularity,Shares #,,Can do
Engagement,Popularity,Likes #,,Can do
Engagement,Popularity,Comments #,,Can do
Engagement,Popularity,Stories with visits over X,,Data available
Engagement,Relevance,Video plays,,Data available
Engagement,Relevance,Scroll,,Data available
Engagement,Relevance,Time spent reading over threshold,,Needs work
Engagement,Relevance,Time on page,,Needs work
Engagement,Leave feedback,Sentiment,,Needs work
Engagement,Leave feedback,Feedback # / %,,Needs work
Engagement,Stickiness,Click # / % on related content,,Data available
Engagement,Stickiness,Pages per session,,Data available
Engagement,Stickiness,Clicks on CTA,,Data available
Engagement,Stickiness,Time on site,,Needs work
Engagement,Stickiness,Bounce rate (negative),,Data available
Engagement,Stickiness,Rich content engagement (e.g. quizzes),,Data available
Adoption,Cross-promotion,# sign-ups from other sources,,Can do
Adoption,Shareable content,# shares from page,,Can do
Adoption,Shareable content,Non-owned organic social traffic,,Data available
Adoption,Micro-conversions,Email journey sign-ups,,Can do
Adoption,Get new users,New user # / %,,Data available
Adoption,Get new users,Page with entrances over cut-off,,Data available
Adoption,Get new users,Users migrate from old sites,,Data available
Adoption,Get new users,New user # / %,"By category (e.g. user/donor, new schools/educators)",Data available
Adoption,Get new users,New user # / %,"By channel (e.g. organic search, referrals)",Data available
Retention,Returning,Returning user # / %,"By category (e.g. user/donor, new schools/educators)",Data available
Retention,Returning,Returning user # / %,By path (multi-step visits),Data available
Retention,Returning,Returning user # / %,"By channel (e.g. organic search, referrals)",Data available
Retention,Returning,Page revisited rate,,Data available
Retention,Returning,Email opt-in,,Data available
Retention,Frequency,Sessions / user,,Data available
Retention,Frequency,Session gap,,Data available
Retention,Recency,Users with sessions in last X days,,Data available
Task success,Effectiveness,Intent # / %,,Data available
Task success,Effectiveness,Conversion # / %,,Data available
Task success,Effectiveness,Funnel progress,,Data available
Task success,Efficiency,Task completion time,,Needs work
